"number","name","comments","dominions_version"
10153,"Small cylinder of blue light",,4.03
10154,"Cylinder of smoke",,4.03
10155,"Very, very few smoke, almost nothing",,4.03
10156,"Small explosion of bile",,4.03
10157,"Some blinky white spots (cold aura)",,4.03
10158,"More blinky white spots (strong cold aura)",,4.03
10159,"Some exploding bile",,4.03
10160,"Rising grey smoke",,4.03
10161,"Falling cyan balls",,4.03
10162,"Spreading orange, flamish mist",,4.03
10163,"Some blood (Larger)","more than in 10144",4.03
10164,"Sparkling green mist",,4.03
10165,"Small explosion of yellowish light",,4.03
10166,"Blinking white shine",,4.03
10167,"Cylinders of red light",,4.03
10168,"Cylinder of brown, mudgy, balls",,4.03
10169,"Some gray smoke",,4.03
10170,"Cylinders of blue light",,4.03
10171,"Large cylinder of purple light",,4.03
10172,"Shower of Blood",,4.03
10173,"Rising bloody mist – Evil",,4.03
10174,"Rising bloody mist – Evil (Smaller)","Less mist than 10173",4.03
10175,"Shower of Flames",,4.03
10176,"Shower of flames",,4.03
10177,"Exploding light green bile",,4.03
10178,"Exploding light green bile (Larger)","More than in 10177",4.03
10179,"Some light green balls",,4.03
10180,"Large shower of yellowish flames",,4.03
10181,"Falling blue rain of light",,4.03
10182,"Blinky orange spots",,4.03
10183,"Large amount of exploding yellowish gas",,4.03
10184,"Rising green transparent mist",,4.03
10185,"Light green flamish mist",,4.03
10186,"Small and quick explosion of white light",,4.03
10187,"Sparkly yellow mist",,4.03
10188,"Some ”blinking” black smoke",,4.03
10189,"Rising mist of brown mass ","Dirt?",4.03
10190,"Shower of white light",,4.03
10191,"Exploding ball of light",,4.03
10192,"Some rising brown mass (Smaller)","much less than in 10189",4.03
10193,"Whilring balls of smoke",,4.03
10194,"Some mist of light brown mass",,4.03
10195,"Quickly exploding ball of smoke",,4.03
10196,"Rising blue mist",,4.03
10197,"Quickly rising ball of purple light",,4.03
10198,"Rising mist of black smoke",,4.03
10199,"Spooky explosion of black smoke",,4.03
10200,"Cylinders of black smoke",,4.03
10201,"Rising cylinder of white light",,4.03
10202,"Small lines of flame",,4.03
10203,"orangish sparkly balls",,4.03
10204,"Cylinder of light purple light",,4.03
10205,"Cylinder of light orangish light",,4.03
10206,"Cylinder of light blue light",,4.03
10207,"Rising collection of sparkling colorful balls",,4.03
10208,"Column of blue light",,4.03
10209,"explosion of grey balls",,4.03
10210,"Some rising colorful mist",,4.03
10211,"explosion of small dark blue ball",,4.03
10212,"some dark blue smoke",,4.03
10213,"Some Falling sparkling light green mist",,4.03
10214,"Shower of smoke",,4.03
10215,"Colorful explosion",,4.03
10216,"Rising cylinder of blood",,4.03
10217,"Rising white mist",,4.03
10218,"some white mist",,4.03
10219,"Lighting bolt",,4.03
10220,"Pillar of Yellow light",,4.03
10221,"Small explosion of blood",,4.03
10222,"Explosion of very dark green ball of gas",,4.03
10223,"Spreading very dark green mist",,4.03
10224,"Rising circle of blue light",,4.03
10225,"Rising cylinder of light transparent purple",,4.03
10226,"Rising circles of blue light",,4.03
10227,"some black mist",,4.03
10228,"some white mist","lot like cold aura",4.03
10229,"small shower of white light",,4.03
10230,"Shower of blue light",,4.03
10231,"Rising sparkly light green mist",,4.03
10232,"some minor smoke",,4.03
10233,"Rising angled light ray","forms a ”\” symbol in the air",4.03
10234,"Rising dark purple mist",,4.03
10235,"Very few black transparent smoke",,4.03
10236,"Falling shiny white transparent mist",,4.03
10237,"Some rising very light green mist",,4.03
10238,"Sparkling ball of orange","stays visible for 0.5 seconds",4.03
10239,"Rising cylinder of very light purple light",,4.03
10240,"Rising cylinder of light green light",,4.03
10241,"Thick Lighting (Thunderstrike)",,4.03
10242,"Massive pillar of orange light",,4.03
10243,"Thin pillar of white light",,4.03
10244,"Thin forged lighting bolts (Orb Lighting)",,4.03
10245,"Very thin light blue pillar of small balls",,4.03
10246,"Thin forked light green pillars","like light green lighting bolts",4.03
10247,"Thick forked light green pillars","like light green lighting bolts",4.03
10248,"Some falling orange balls of light",,4.03
10249,"Small falling ball of light",,4.03
10250,"Pillar of Pinkish Light (?)",,4.03
10251,"Massive geyser of light","like astral geyser",4.03
10252,"Massive geyser of light red light",,4.03
10253,"Massive geyser of purple thick pillars",,4.03
10254,"green pillar of light (grounded at 45 degree angle)",,4.03
10255,"Explosion of purple and light red",,4.03
10256,"Small ball of light green light",,4.03
10257,"Few rising balls of smoke",,4.03
10258,"Few rising balls of smoke",,4.03
10259,"Few rising balls of smoke",,4.03
10260,"<Undocumented Sprite>",,4.03
10262,"<Undocumented Sprite>",,4.03
10263,"<Undocumented Sprite>",,4.03
10264,"<Undocumented Sprite>",,4.03
10265,"<Undocumented Sprite>",,4.03
10266,"<Undocumented Sprite>",,4.03
10269,"<Undocumented Sprite>",,4.03
10270,"<Undocumented Sprite>",,4.03
